e,b,n12,n23,n31,nd,nc,rej,time
1500.0,0.0,26,13,18,29943,0,0,194.1013367176056
1500.0,0.5,37,16,25,29922,0,0,198.47625637054443
1500.0,2.0,31,14,15,29940,0,0,202.22746419906616
1500.0,3.5,27,10,9,29954,0,0,215.10347294807434
1500.0,3.0,40,13,14,29933,0,0,229.2634515762329
1500.0,2.5,40,12,7,29941,0,0,243.7159125804901
1500.0,4.0,16,8,4,29972,0,0,202.30730319023132
1500.0,4.5,18,4,8,29970,0,0,231.74555349349976
1500.0,5.0,20,5,5,29970,0,0,239.17142963409424
1500.0,5.5,20,5,10,29965,0,0,282.06964445114136
1500.0,6.0,15,11,2,29972,0,0,297.4004304409027
1500.0,6.5,29,2,4,29965,0,0,318.62594652175903
1500.0,7.0,30,1,4,29965,0,0,313.01026725769043
1500.0,7.5,29,2,3,29966,0,0,325.87518405914307
1500.0,9.0,30,4,3,29962,0,1,315.3923053741455
1500.0,9.5,28,6,4,29962,0,0,301.8667325973511
1500.0,8.5,42,3,2,29953,0,0,389.2233121395111
1500.0,11.0,5,0,1,29994,0,0,278.7019798755646
1500.0,8.0,34,4,3,29959,0,0,438.1701385974884
1500.0,10.0,16,0,2,29982,0,0,338.9878396987915
1500.0,10.5,18,4,5,29973,0,0,332.09089064598083
1500.0,11.5,1,1,1,29997,0,0,323.8029100894928
1500.0,14.5,0,0,0,30000,0,0,107.13765907287598
1500.0,14.0,1,0,0,29999,0,0,112.94065809249878
1500.0,13.5,0,0,0,30000,0,0,113.31046032905579
1500.0,15.0,0,0,0,30000,0,0,104.13655996322632
1500.0,15.5,0,0,0,30000,0,0,99.97661781311035
1500.0,12.5,0,0,0,30000,0,0,249.02524518966675
1500.0,17.0,0,0,0,30000,0,0,92.94299030303955
1500.0,16.5,0,0,0,30000,0,0,94.74864411354065
1500.0,16.0,0,0,0,30000,0,0,99.52480244636536
1500.0,17.5,0,0,0,30000,0,0,91.27732563018799
1500.0,12.0,2,0,0,29998,0,0,328.3855652809143
1500.0,18.0,0,0,0,30000,0,0,89.33629608154297
1500.0,18.5,0,0,0,30000,0,0,86.60005497932434
1500.0,20.0,0,0,0,30000,0,0,81.8689877986908
1500.0,19.5,0,0,0,30000,0,0,83.68643689155579
1500.0,19.0,0,0,0,29999,0,1,86.14307308197021
1500.0,13.0,0,0,0,30000,0,0,353.8810603618622
10.0,14.0,253,251,231,29265,0,0,2006.2870879173279
10.0,12.0,269,285,283,29163,0,0,2086.601880311966
10.0,8.0,314,301,344,29041,0,0,2132.2927997112274
10.0,4.0,279,382,413,28925,0,1,2189.6279468536377
10.0,6.0,277,365,360,28998,0,0,2190.4422011375427
10.0,10.0,338,319,292,29050,0,1,2221.165075778961
10.0,2.0,288,516,504,28691,0,1,2469.2206094264984
10.0,0.0,286,590,545,28579,0,0,2677.083472251892
10.0,26.0,80,62,61,29797,0,0,699.3797218799591
10.0,28.0,47,45,34,29874,0,0,568.7562220096588
10.0,30.0,20,33,35,29912,0,0,537.9921181201935
10.0,32.0,11,18,16,29955,0,0,351.79766941070557
10.0,34.0,6,8,8,29976,0,2,270.51222133636475
10.0,24.0,147,103,79,29670,0,1,1159.6728777885437
10.0,22.0,168,104,123,29604,0,1,1161.0800683498383
10.0,36.0,3,5,1,29991,0,0,196.70855903625488
10.0,38.0,2,2,0,29995,0,1,155.74111700057983
10.0,40.0,2,0,2,29995,0,1,147.24150562286377
10.0,42.0,0,2,1,29997,0,0,136.5448513031006
10.0,44.0,0,1,2,29997,0,0,140.57849884033203
10.0,46.0,0,1,1,29997,0,1,116.97310209274292
10.0,48.0,0,0,0,29999,0,1,107.43043422698975
10.0,54.0,0,0,0,30000,0,0,96.31541466712952
10.0,52.0,0,0,0,29998,0,2,99.80422687530518
10.0,20.0,187,140,162,29511,0,0,1478.3769006729126
10.0,50.0,1,0,1,29998,0,0,147.6590073108673
10.0,56.0,0,0,0,29999,0,1,93.02102947235107
10.0,58.0,1,0,0,29998,0,1,92.45769190788269
10.0,62.0,0,0,0,30000,0,0,86.31501054763794
10.0,60.0,0,0,0,30000,0,0,87.72620558738708
10.0,64.0,0,0,0,30000,0,0,82.55410194396973
10.0,66.0,0,0,0,29998,0,2,81.3087842464447
10.0,68.0,0,0,0,30000,0,0,79.93507838249207
10.0,70.0,0,0,0,29999,0,1,78.4620418548584
10.0,76.0,0,0,0,29999,0,1,73.24117493629456
10.0,74.0,0,0,0,30000,0,0,74.49556541442871
10.0,72.0,0,0,0,30000,0,0,75.44689679145813
10.0,18.0,200,174,204,29421,0,1,1696.1985847949982
10.0,78.0,0,0,0,30000,0,0,70.12564134597778
10.0,80.0,0,0,0,29999,0,1,69.77024674415588
10.0,16.0,236,207,211,29344,0,2,1856.496397972107
3000.0,0.75,14,2,3,29981,0,0,162.24027562141418
3000.0,0.5,22,2,7,29969,0,0,162.55024123191833
3000.0,1.0,17,3,4,29976,0,0,162.71249055862427
3000.0,1.25,17,5,7,29971,0,0,162.8346061706543
3000.0,0.25,25,1,6,29968,0,0,164.88632130622864
3000.0,0.0,21,5,2,29972,0,0,170.14973759651184
3000.0,1.75,18,4,6,29972,0,0,171.44276237487793
3000.0,1.5,18,6,3,29973,0,0,173.15298223495483
3000.0,2.0,16,1,3,29979,0,1,162.99521398544312
3000.0,2.25,19,3,6,29972,0,0,168.84206461906433
3000.0,2.5,20,4,4,29972,0,0,177.23384761810303
3000.0,3.0,14,0,4,29982,0,0,177.65715217590332
3000.0,3.25,15,0,3,29982,0,0,175.69054746627808
3000.0,2.75,23,8,2,29967,0,0,180.55027103424072
3000.0,3.75,9,2,2,29987,0,0,196.79031467437744
3000.0,3.5,20,0,2,29978,0,0,226.4513454437256
3000.0,4.25,8,1,3,29988,0,0,192.64701199531555
3000.0,4.0,17,3,3,29977,0,0,210.52247309684753
3000.0,4.5,13,2,0,29985,0,0,215.63374137878418
3000.0,5.0,10,4,1,29985,0,0,212.68961548805237
3000.0,4.75,12,1,0,29987,0,0,213.88151931762695
3000.0,5.5,13,1,4,29982,0,0,207.84485507011414
3000.0,5.25,17,3,1,29979,0,0,245.98915195465088
3000.0,5.75,16,3,2,29979,0,0,237.93633008003235
3000.0,6.0,19,1,1,29979,0,0,232.26014184951782
3000.0,6.25,20,0,0,29980,0,0,282.19550037384033
3000.0,6.75,16,0,0,29984,0,0,271.9253282546997
3000.0,7.0,19,0,4,29977,0,0,274.7601246833801
3000.0,6.5,19,1,0,29980,0,0,278.66884112358093
3000.0,7.5,7,1,1,29991,0,0,290.26945996284485
3000.0,7.75,21,1,2,29976,0,0,260.5472831726074
3000.0,7.25,13,1,1,29985,0,0,370.6159462928772
3000.0,8.0,18,2,0,29980,0,0,290.5933349132538
3000.0,8.75,9,1,0,29990,0,0,230.49440240859985
3000.0,9.25,7,0,1,29992,0,0,190.29995036125183
3000.0,9.0,4,0,0,29996,0,0,243.47460865974426
3000.0,8.25,11,0,1,29988,0,0,268.6933515071869
3000.0,8.5,16,1,1,29982,0,0,289.0667521953583
3000.0,9.5,3,3,1,29993,0,0,245.2915050983429
3000.0,9.75,3,0,2,29995,0,0,197.23609519004822
3000.0,10.75,0,0,1,29999,0,0,119.73600029945374
3000.0,10.5,0,2,0,29998,0,0,135.0807008743286
3000.0,11.25,0,0,0,30000,0,0,114.19217705726624
3000.0,10.0,1,0,0,29998,0,1,175.9693763256073
